season,team,season_start_year,season_idx,split,points,goal_diff,matches,goals_for,goals_against,points_per_match,gd_per_match,xg_league,xga_league,xgd_league,xgd_per_match,xg_squad,xg_per_match_squad
2017-18,Arsenal,2017,0,train,63,23,38,74,51,1.6578947368421053,0.6052631578947368,68.3,47.8,20.5,0.5394736842105263,68.3,1.7973684210526315
2017-18,Bournemouth,2017,0,train,44,-16,38,45,61,1.1578947368421053,-0.42105263157894735,38.8,59.2,-20.400000000000006,-0.536842105263158,38.8,1.0210526315789472
2017-18,Brighton,2017,0,train,40,-20,38,34,54,1.0526315789473684,-0.5263157894736842,37.0,50.8,-13.799999999999997,-0.363157894736842,37.0,0.9736842105263158
2017-18,Burnley,2017,0,train,54,-3,38,36,39,1.4210526315789473,-0.07894736842105263,32.3,51.2,-18.900000000000006,-0.49736842105263174,32.3,0.85
2017-18,Chelsea,2017,0,train,70,24,38,62,38,1.8421052631578947,0.631578947368421,54.4,33.8,20.6,0.5421052631578948,54.4,1.431578947368421
2017-18,Crystal Palace,2017,0,train,44,-10,38,45,55,1.1578947368421053,-0.2631578947368421,53.5,48.2,5.299999999999997,0.13947368421052625,53.5,1.4078947368421053
2017-18,Everton,2017,0,train,49,-14,38,44,58,1.2894736842105263,-0.3684210526315789,40.5,52.4,-11.899999999999999,-0.3131578947368421,40.5,1.0657894736842106
2017-18,Huddersfield,2017,0,train,37,-30,38,28,58,0.9736842105263158,-0.7894736842105263,31.3,48.5,-17.2,-0.4526315789473684,31.3,0.8236842105263158
2017-18,Leicester City,2017,0,train,47,-4,38,56,60,1.236842105263158,-0.10526315789473684,50.0,48.1,1.8999999999999986,0.04999999999999996,50.0,1.3157894736842106
2017-18,Liverpool,2017,0,train,75,46,38,84,38,1.9736842105263157,1.2105263157894737,72.9,33.8,39.10000000000001,1.0289473684210528,72.9,1.918421052631579
2017-18,Manchester City,2017,0,train,100,79,38,106,27,2.6315789473684212,2.0789473684210527,78.6,23.8,54.8,1.4421052631578946,78.6,2.068421052631579
2017-18,Manchester Utd,2017,0,train,81,40,38,68,28,2.1315789473684212,1.0526315789473684,55.7,40.7,15.0,0.39473684210526316,55.7,1.4657894736842105
2017-18,Newcastle Utd,2017,0,train,44,-8,38,39,47,1.1578947368421053,-0.21052631578947367,41.6,52.4,-10.799999999999997,-0.2842105263157894,41.6,1.0947368421052632
2017-18,Southampton,2017,0,train,36,-19,38,37,56,0.9473684210526315,-0.5,39.9,45.2,-5.300000000000004,-0.13947368421052642,39.9,1.05
2017-18,Stoke City,2017,0,train,33,-33,38,35,68,0.868421052631579,-0.868421052631579,36.5,62.5,-26.0,-0.6842105263157895,36.5,0.9605263157894737
2017-18,Swansea City,2017,0,train,33,-28,38,28,56,0.868421052631579,-0.7368421052631579,31.6,58.6,-27.0,-0.7105263157894737,31.6,0.8315789473684211
2017-18,Tottenham,2017,0,train,77,38,38,74,36,2.026315789473684,1.0,64.7,33.9,30.800000000000004,0.8105263157894738,64.7,1.7026315789473685
2017-18,Watford,2017,0,train,41,-20,38,44,64,1.0789473684210527,-0.5263157894736842,45.0,51.8,-6.799999999999997,-0.17894736842105255,45.0,1.1842105263157894
2017-18,West Brom,2017,0,train,31,-25,38,31,56,0.8157894736842105,-0.6578947368421053,36.5,47.9,-11.399999999999999,-0.3,36.5,0.9605263157894737
2017-18,West Ham,2017,0,train,42,-20,38,48,68,1.105263157894737,-0.5263157894736842,36.7,55.1,-18.4,-0.4842105263157894,36.7,0.9657894736842106
2018-19,Arsenal,2018,1,train,70,22,38,73,51,1.8421052631578947,0.5789473684210527,60.1,54.2,5.899999999999999,0.1552631578947368,60.1,1.5815789473684212
2018-19,Bournemouth,2018,1,train,45,-14,38,56,70,1.1842105263157894,-0.3684210526315789,53.3,57.2,-3.9000000000000057,-0.10263157894736857,53.3,1.4026315789473685
2018-19,Brighton,2018,1,train,36,-25,38,35,60,0.9473684210526315,-0.6578947368421053,35.3,59.1,-23.800000000000004,-0.6263157894736843,35.3,0.9289473684210525
2018-19,Burnley,2018,1,train,40,-23,38,45,68,1.0526315789473684,-0.6052631578947368,44.4,62.1,-17.700000000000003,-0.4657894736842106,44.4,1.1684210526315788
2018-19,Cardiff City,2018,1,train,34,-35,38,34,69,0.8947368421052632,-0.9210526315789473,42.4,61.5,-19.1,-0.5026315789473684,42.4,1.1157894736842104
2018-19,Chelsea,2018,1,train,72,24,38,63,39,1.894736842105263,0.631578947368421,58.6,36.4,22.200000000000003,0.5842105263157895,58.6,1.5421052631578949
2018-19,Crystal Palace,2018,1,train,49,-2,38,51,53,1.2894736842105263,-0.05263157894736842,47.6,50.1,-2.5,-0.06578947368421052,47.6,1.2526315789473685
2018-19,Everton,2018,1,train,54,8,38,54,46,1.4210526315789473,0.21052631578947367,49.7,45.7,4.0,0.10526315789473684,49.7,1.3078947368421054
2018-19,Fulham,2018,1,train,26,-47,38,34,81,0.6842105263157895,-1.236842105263158,41.3,68.2,-26.900000000000006,-0.7078947368421055,41.3,1.0868421052631578
2018-19,Huddersfield,2018,1,train,16,-54,38,22,76,0.42105263157894735,-1.4210526315789473,28.8,60.9,-32.099999999999994,-0.844736842105263,28.8,0.7578947368421053
2018-19,Leicester City,2018,1,train,52,3,38,51,48,1.368421052631579,0.07894736842105263,52.4,43.7,8.699999999999996,0.2289473684210525,52.4,1.3789473684210527
2018-19,Liverpool,2018,1,train,97,67,38,89,22,2.5526315789473686,1.763157894736842,73.7,28.8,44.900000000000006,1.1815789473684213,73.7,1.9394736842105265
2018-19,Manchester City,2018,1,train,98,72,38,95,23,2.5789473684210527,1.894736842105263,84.3,24.7,59.599999999999994,1.5684210526315787,84.3,2.218421052631579
2018-19,Manchester Utd,2018,1,train,66,11,38,65,54,1.736842105263158,0.2894736842105263,61.4,50.6,10.799999999999997,0.2842105263157894,61.4,1.6157894736842104
2018-19,Newcastle Utd,2018,1,train,45,-6,38,42,48,1.1842105263157894,-0.15789473684210525,39.1,53.6,-14.5,-0.3815789473684211,39.1,1.0289473684210526
2018-19,Southampton,2018,1,train,39,-20,38,45,65,1.0263157894736843,-0.5263157894736842,46.9,55.1,-8.200000000000003,-0.21578947368421061,46.9,1.2342105263157894
2018-19,Tottenham,2018,1,train,71,28,38,67,39,1.868421052631579,0.7368421052631579,54.9,47.1,7.799999999999997,0.20526315789473676,54.9,1.444736842105263
2018-19,Watford,2018,1,train,50,-7,38,52,59,1.3157894736842106,-0.18421052631578946,48.2,59.2,-11.0,-0.2894736842105263,48.2,1.2684210526315791
2018-19,West Ham,2018,1,train,52,-3,38,52,55,1.368421052631579,-0.07894736842105263,47.6,61.9,-14.299999999999997,-0.37631578947368416,47.6,1.2526315789473685
2018-19,Wolves,2018,1,train,57,1,38,47,46,1.5,0.02631578947368421,52.1,42.1,10.0,0.2631578947368421,52.1,1.3710526315789473
2019-20,Arsenal,2019,2,train,56,8,38,56,48,1.4736842105263157,0.21052631578947367,47.0,55.3,-8.299999999999997,-0.21842105263157888,47.0,1.236842105263158
2019-20,Aston Villa,2019,2,train,35,-26,38,41,67,0.9210526315789473,-0.6842105263157895,44.3,67.8,-23.5,-0.618421052631579,44.3,1.1657894736842105
2019-20,Bournemouth,2019,2,train,34,-25,38,40,65,0.8947368421052632,-0.6578947368421053,44.8,62.3,-17.5,-0.4605263157894737,44.8,1.1789473684210525
2019-20,Brighton,2019,2,train,41,-15,38,39,54,1.0789473684210527,-0.39473684210526316,45.4,55.0,-9.600000000000001,-0.2526315789473685,45.4,1.194736842105263
2019-20,Burnley,2019,2,train,54,-7,38,43,50,1.4210526315789473,-0.18421052631578946,47.4,49.8,-2.3999999999999986,-0.06315789473684207,47.4,1.2473684210526315
2019-20,Chelsea,2019,2,train,66,15,38,69,54,1.736842105263158,0.39473684210526316,69.2,38.6,30.6,0.8052631578947369,69.2,1.8210526315789475
2019-20,Crystal Palace,2019,2,train,43,-19,38,31,50,1.131578947368421,-0.5,35.8,57.0,-21.200000000000003,-0.5578947368421053,35.8,0.9421052631578947
2019-20,Everton,2019,2,train,49,-12,38,44,56,1.2894736842105263,-0.3157894736842105,50.8,48.3,2.5,0.06578947368421052,50.8,1.3368421052631578
2019-20,Leicester City,2019,2,train,62,26,38,67,41,1.631578947368421,0.6842105263157895,62.2,45.5,16.700000000000003,0.4394736842105264,62.2,1.6368421052631579
2019-20,Liverpool,2019,2,train,99,52,38,85,33,2.6052631578947367,1.368421052631579,68.9,37.7,31.200000000000003,0.8210526315789475,68.9,1.8131578947368423
2019-20,Manchester City,2019,2,train,81,67,38,102,35,2.1315789473684212,1.763157894736842,92.0,36.2,55.8,1.4684210526315788,92.0,2.4210526315789473
2019-20,Manchester Utd,2019,2,train,66,30,38,66,36,1.736842105263158,0.7894736842105263,62.2,37.7,24.5,0.6447368421052632,62.2,1.6368421052631579
2019-20,Newcastle Utd,2019,2,train,44,-20,38,38,58,1.1578947368421053,-0.5263157894736842,35.5,65.6,-30.099999999999994,-0.7921052631578945,35.5,0.9342105263157895
2019-20,Norwich City,2019,2,train,21,-49,38,26,75,0.5526315789473685,-1.2894736842105263,37.0,66.5,-29.5,-0.7763157894736842,37.0,0.9736842105263158
2019-20,Sheffield Utd,2019,2,train,54,0,38,39,39,1.4210526315789473,0.0,43.0,51.0,-8.0,-0.21052631578947367,43.0,1.131578947368421
2019-20,Southampton,2019,2,train,52,-9,38,51,60,1.368421052631579,-0.23684210526315788,56.1,52.8,3.3000000000000043,0.08684210526315801,56.1,1.4763157894736842
2019-20,Tottenham,2019,2,train,59,14,38,61,47,1.5526315789473684,0.3684210526315789,47.9,54.2,-6.300000000000004,-0.16578947368421063,47.9,1.2605263157894737
2019-20,Watford,2019,2,train,34,-28,38,36,64,0.8947368421052632,-0.7368421052631579,48.9,58.1,-9.200000000000003,-0.24210526315789482,48.9,1.2868421052631578
2019-20,West Ham,2019,2,train,39,-13,38,49,62,1.0263157894736843,-0.34210526315789475,48.6,63.8,-15.199999999999996,-0.3999999999999999,48.6,1.2789473684210526
2019-20,Wolves,2019,2,train,59,11,38,51,40,1.5526315789473684,0.2894736842105263,54.1,38.0,16.1,0.42368421052631583,54.1,1.4236842105263159
2020-21,Arsenal,2020,3,train,61,16,38,55,39,1.605263157894737,0.42105263157894735,51.7,43.0,8.700000000000003,0.2289473684210527,51.7,1.3605263157894738
