team,p_pos_1,p_pos_2,p_pos_3,p_pos_4,p_pos_5,p_pos_6,p_pos_7,p_pos_8,p_pos_9,p_pos_10,p_pos_11,p_pos_12,p_pos_13,p_pos_14,p_pos_15,p_pos_16,p_pos_17,p_pos_18,p_pos_19,p_pos_20
Arsenal,0.2607,0.2991,0.2733,0.0998,0.0393,0.0141,0.0075,0.0039,0.0013,0.0005,0.0003,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
Aston Villa,0.0014,0.0074,0.0247,0.0781,0.1112,0.1235,0.1155,0.106,0.0926,0.0793,0.067,0.0567,0.0489,0.035,0.0259,0.0158,0.0085,0.0019,0.0005,0.0001
Bournemouth,0.0001,0.0007,0.0057,0.0218,0.0411,0.0573,0.0721,0.076,0.087,0.091,0.0885,0.0903,0.0882,0.0905,0.0701,0.0614,0.04,0.0153,0.0025,0.0004
Brentford,0.0014,0.0056,0.0183,0.0579,0.0905,0.1034,0.1084,0.1032,0.0989,0.0881,0.0785,0.0677,0.054,0.0444,0.0377,0.025,0.0112,0.0051,0.0006,0.0001
Brighton,0.0002,0.0011,0.0052,0.0207,0.0395,0.0551,0.063,0.074,0.0871,0.0922,0.0927,0.0965,0.0898,0.0865,0.0759,0.0575,0.0448,0.0147,0.0032,0.0003
Chelsea,0.0083,0.0321,0.0744,0.1795,0.1759,0.138,0.1036,0.0857,0.0608,0.0457,0.0319,0.0233,0.0147,0.0119,0.0083,0.0038,0.0017,0.0003,0.0001,0.0
Crystal Palace,0.0002,0.001,0.0029,0.012,0.0258,0.0403,0.0511,0.0643,0.0729,0.0802,0.0918,0.0937,0.0955,0.1,0.0933,0.0882,0.0597,0.022,0.0044,0.0007
Everton,0.0,0.0,0.0006,0.0037,0.0063,0.0118,0.0198,0.0279,0.0385,0.045,0.0573,0.0751,0.0949,0.1103,0.1312,0.1481,0.1438,0.0651,0.0179,0.0027
Fulham,0.0002,0.0014,0.0055,0.0248,0.0402,0.0557,0.0699,0.0774,0.0861,0.0916,0.0918,0.0912,0.0921,0.0823,0.0767,0.0614,0.0368,0.0128,0.0021,0.0
Ipswich,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0001,0.0004,0.0001,0.0007,0.0017,0.0025,0.0059,0.0131,0.0311,0.076,0.2383,0.4001,0.2298
Leicester,0.0,0.0,0.0,0.0001,0.0,0.0002,0.0001,0.0004,0.0009,0.0015,0.0024,0.0062,0.0089,0.0182,0.0305,0.0606,0.1309,0.3579,0.2692,0.112
Liverpool,0.3175,0.3058,0.2423,0.0829,0.0292,0.0115,0.0063,0.0025,0.0009,0.0005,0.0004,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0
Man City,0.3942,0.2965,0.2077,0.0631,0.0221,0.0096,0.0041,0.0016,0.0008,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Man United,0.0002,0.0015,0.0074,0.0181,0.0376,0.0553,0.0683,0.0765,0.0908,0.0948,0.1013,0.0944,0.0881,0.0795,0.0699,0.0589,0.041,0.012,0.0039,0.0005
Newcastle,0.0141,0.0395,0.0983,0.2257,0.1794,0.1307,0.0929,0.0658,0.049,0.036,0.0252,0.0169,0.0114,0.0065,0.0041,0.0031,0.0012,0.0002,0.0,0.0
Nott'm Forest,0.0002,0.0009,0.0054,0.0253,0.0378,0.0556,0.0691,0.08,0.0816,0.0903,0.0886,0.0967,0.0939,0.0837,0.075,0.0583,0.0404,0.0148,0.0021,0.0003
Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0003,0.0021,0.0054,0.0197,0.0846,0.2432,0.6444
Tottenham,0.0013,0.0073,0.0274,0.082,0.1153,0.1171,0.1135,0.1021,0.0894,0.0797,0.07,0.0552,0.0471,0.0369,0.0266,0.0176,0.0091,0.0019,0.0003,0.0002
West Ham,0.0,0.0,0.0002,0.002,0.0038,0.0075,0.017,0.0239,0.0254,0.0372,0.0537,0.0625,0.0808,0.1036,0.1311,0.1535,0.1821,0.0833,0.0272,0.0052
Wolves,0.0,0.0001,0.0007,0.0025,0.0049,0.0132,0.0178,0.0287,0.0356,0.0461,0.0576,0.0716,0.0892,0.1044,0.1284,0.1503,0.1531,0.0698,0.0227,0.0033
